,PLAYER,POS,AVG
0,Christian McCaffrey,RB,1.0
1,Dalvin Cook,RB,2.0
2,Derrick Henry,RB,3.0
3,Alvin Kamara,RB,4.0
4,Saquon Barkley,RB,5.0
5,Jonathan Taylor,RB,6.7
6,Ezekiel Elliott,RB,7.0
7,Nick Chubb,RB,7.3
8,Tyreek Hill,WR,9.7
9,Travis Kelce,TE,10.7
10,Aaron Jones,RB,11.3
11,Davante Adams,WR,12.0
12,Stefon Diggs,WR,12.7
13,Austin Ekeler,RB,14.0
14,Cam Akers,RB,16.0
15,DeAndre Hopkins,WR,17.0
16,Antonio Gibson,RB,17.0
17,D.K. Metcalf,WR,19.3
18,Patrick Mahomes II,QB,20.3
19,Najee Harris,RB,20.7
20,Joe Mixon,RB,20.7
21,Calvin Ridley,WR,22.0
22,A.J. Brown,WR,23.0
23,Justin Jefferson,WR,24.3
24,George Kittle,TE,25.3
25,Clyde Edwards-Helaire,RB,27.0
27,J.K. Dobbins,RB,27.7
26,Darren Waller,TE,27.7
28,Josh Jacobs,RB,30.0
29,Michael Thomas,WR,30.0
30,D'Andre Swift,RB,30.3
31,Miles Sanders,RB,31.7
32,Keenan Allen,WR,31.7
33,Josh Allen,QB,33.7
34,Terry McLaurin,WR,35.3
35,Chris Carson,RB,35.7
36,Allen Robinson II,WR,36.0
37,David Montgomery,RB,36.3
38,Mike Evans,WR,38.7
39,Julio Jones,WR,40.0
40,Chris Godwin,WR,43.7
41,Kyler Murray,QB,43.7
42,CeeDee Lamb,WR,45.0
43,Amari Cooper,WR,45.0
44,James Robinson,RB,45.7
45,Myles Gaskin,RB,46.3
46,Adam Thielen,WR,46.3
47,Kareem Hunt,RB,48.7
48,Lamar Jackson,QB,49.0
49,Robert Woods,WR,49.0
50,Mark Andrews,TE,51.3
51,Dak Prescott,QB,51.7
52,Cooper Kupp,WR,56.3
53,T.J. Hockenson,TE,56.7
54,Tyler Lockett,WR,58.0
55,Diontae Johnson,WR,58.0
56,D.J. Moore,WR,59.0
57,Kenny Golladay,WR,59.3
58,Russell Wilson,QB,60.0
59,Chase Edmonds,RB,61.3
60,Justin Herbert,QB,61.7
61,Mike Davis,RB,62.3
62,Raheem Mostert,RB,64.0
63,Aaron Rodgers,QB,65.7
64,Melvin Gordon III,RB,65.7
65,Ronald Jones II,RB,67.7
66,Odell Beckham Jr.,WR,68.0
67,Kyle Pitts,TE,68.3
68,Javonte Williams,RB,71.0
69,Travis Etienne,RB,71.3
70,Brandon Aiyuk,WR,72.3
71,Chase Claypool,WR,74.0
72,Tom Brady,QB,76.3
73,Tee Higgins,WR,77.0
74,Leonard Fournette,RB,77.7
75,Noah Fant,TE,79.0
76,Jalen Hurts,QB,79.7
77,Damien Harris,RB,83.0
78,JuJu Smith-Schuster,WR,83.0
79,David Johnson,RB,84.3
80,D.J. Chark Jr.,WR,85.0
81,Ja'Marr Chase,WR,86.3
82,Courtland Sutton,WR,87.3
83,Deebo Samuel,WR,90.3
84,Dallas Goedert,TE,91.7
85,AJ Dillon,RB,92.0
86,Robby Anderson,WR,92.0
87,James Conner,RB,92.7
88,Matthew Stafford,QB,92.7
90,Kenyan Drake,RB,93.0
89,Tyler Boyd,WR,93.0
91,Will Fuller V,WR,96.3
92,Pittsburgh Steelers,DS,97.0
93,Ryan Tannehill,QB,97.0
94,Michael Carter,RB,98.0
95,Logan Thomas,TE,98.3
96,Joe Burrow,QB,98.3
97,Los Angeles Rams,DS,99.0
98,Zack Moss,RB,99.7
99,Jerry Jeudy,WR,100.3
100,Brandin Cooks,WR,103.0
101,DeVonta Smith,WR,103.3
102,Jarvis Landry,WR,104.3
103,Mike Gesicki,TE,104.7
104,Rob Gronkowski,TE,108.7
105,Devin Singletary,RB,109.3
106,Washington Football Team,DS,111.3
107,Baltimore Ravens,DS,111.7
108,Curtis Samuel,WR,112.0
109,Gus Edwards,RB,113.3
110,Hunter Henry,TE,114.3
111,Antonio Brown,WR,115.3
112,Tony Pollard,RB,117.3
113,Tampa Bay Buccaneers,DS,117.7
114,Nyheim Hines,RB,118.3
115,Jaylen Waddle,WR,121.0
116,Marquise Brown,WR,121.7
117,Justin Tucker,K1,122.3
118,Trey Sermon,RB,122.3
119,DeVante Parker,WR,123.0
120,Michael Pittman Jr.,WR,123.0
121,Matt Ryan,QB,123.3
147,Robert Tonyan,TE,123.5
179,Nick Folk,K1,124.0
123,Laviska Shenault Jr.,WR,125.3
122,Indianapolis Colts,DS,125.3
124,Tyler Higbee,TE,128.3
125,Latavius Murray,RB,130.7
126,Corey Davis,WR,131.0
127,Jamaal Williams,RB,131.7
128,Trevor Lawrence,QB,133.0
129,Harrison Butker,K2,133.3
130,Mike Williams,WR,133.3
131,Younghoe Koo,K3,133.7
153,Evan Engram,TE,134.5
132,San Francisco 49ers,DS,134.7
133,Jonnu Smith,TE,135.0
134,Cole Beasley,WR,136.0
135,Michael Gallup,WR,137.7
136,Baker Mayfield,QB,138.0
137,Darrell Henderson,RB,138.7
138,J.D. McKissic,RB,139.0
139,T.Y. Hilton,WR,140.3
190,Tennessee Titans,DS,141.0
140,Kirk Cousins,QB,143.3
159,Rashaad Penny,RB,143.5
191,Jordan Akins,TE,144.0
141,Marvin Jones Jr.,WR,145.0
142,Irv Smith Jr.,TE,145.7
143,Alexander Mattison,RB,147.7
194,Christian Kirk,WR,149.0
144,Carson Wentz,QB,149.7
145,Henry Ruggs III,WR,151.7
146,Phillip Lindsay,RB,152.0
168,Sterling Shepard,WR,156.0
148,Ben Roethlisberger,QB,157.0
149,Jason Sanders,K4,158.3
170,Damien Williams,RB,160.0
150,Greg Zuerlein,K5,160.7
152,Buffalo Bills,DS,161.7
154,Darnell Mooney,WR,162.3
205,Nico Collins,WR,163.0
172,Jamison Crowder,WR,163.0
206,Benny Snell Jr.,RB,164.0
155,Rodrigo Blankenship,K6,164.0
156,Zach Ertz,TE,164.7
151,Deshaun Watson,QB,164.7
173,Taysom Hill,QB,165.0
174,Elijah Moore,WR,165.5
157,Marlon Mack,RB,165.7
175,Giovani Bernard,RB,167.5
158,Justin Fields,QB,167.7
160,Tua Tagovailoa,QB,169.3
178,Ryan Fitzpatrick,QB,170.5
163,Mecole Hardman,WR,172.7
164,Tarik Cohen,RB,173.0
165,James White,RB,173.7
218,Rondale Moore,WR,174.0
181,Miami Dolphins,DS,174.5
166,Tyler Bass,K9,174.7
182,Jeff Wilson Jr.,RB,175.0
183,Chuba Hubbard,RB,175.0
220,Anthony Firkser,TE,176.0
186,John Brown,WR,176.5
161,Wil Lutz,K7,177.0
187,Tevin Coleman,RB,177.0
222,Javian Hawkins,RB,178.0
188,Gabriel Davis,WR,178.5
225,Elijah Mitchell,RB,179.0
171,Jared Cook,TE,180.3
229,Allen Lazard,WR,183.0
195,Kadarius Toney,WR,184.0
176,Rashod Bateman,WR,184.3
177,Trey Lance,QB,185.0
197,Zach Wilson,QB,185.5
198,Kenneth Gainwell,RB,185.5
199,Anthony McFarland Jr.,RB,186.0
201,Salvon Ahmed,RB,187.5
234,Amon-Ra St. Brown,WR,189.0
202,Jalen Reagor,WR,189.0
204,Daniel Carlson,K1,190.0
207,O.J. Howard,TE,191.0
209,Darrynton Evans,RB,193.0
236,Denzel Mims,WR,193.0
192,Gerald Everett,TE,193.7
238,Jimmy Graham,TE,195.0
240,Hayden Hurst,TE,197.0
169,New England Patriots,DS,197.7
241,Cordarrelle Patterson,WR,198.0
203,Derek Carr,QB,198.7
243,Josh Palmer,WR,199.0
226,Tim Tebow,TE,199.5
245,Darius Slayton,WR,200.0
230,Todd,RB,200.5
184,Nelson Agholor,WR,200.7
212,Russell Gage,WR,201.0
246,Terrace Marshall Jr.,WR,201.0
233,Seattle Seahawks,DS,202.5
208,,RB,202.5
248,Pooka Williams Jr.,RB,203.0
185,New Orleans Saints,DS,206.0
162,Ryan Succop,K8,207.0
167,Cleveland Browns,DS,207.3
249,La'Mical Perine,RB,208.0
251,Boston Scott,RB,209.0
253,Ty Johnson,RB,210.0
211,Jared Goff,QB,211.0
255,Joshua Kelley,RB,213.0
216,Cam Newton,QB,214.7
210,Pat Freiermuth,TE,215.0
257,Gerrid Doaks,RB,215.0
259,Eno Benjamin,RB,216.0
189,Jameis Winston,QB,216.3
261,Dez Fitzpatrick,WR,217.0
227,Blake Jarwin,TE,217.0
217,Mark Ingram II,RB,218.5
262,Breshad Perriman,WR,220.0
196,A.J. Green,WR,220.7
219,Eric Ebron,TE,221.0
263,Demarcus Robinson,WR,222.0
264,Chad Beebe,WR,223.0
265,Anthony Schwartz,WR,224.0
214,Dallas Cowboys,DS,224.5
266,Tyler Johnson,WR,225.0
250,Sony Michel,RB,226.0
267,Scotty Miller,WR,226.0
193,Kansas City Chiefs,DS,227.0
268,Bryan Edwards,WR,227.0
269,Corey Clement,RB,228.0
258,Brandon McManus,K1,228.5
270,Royce Freeman,RB,229.0
232,Sam Darnold,QB,229.0
271,Kyle Rudolph,TE,230.0
180,Robbie Gould,K1,232.0
228,Adam Trautman,TE,232.5
200,Minnesota Vikings,DS,232.7
272,Mo Alie-Cox,TE,233.0
221,Justin Jackson,RB,233.0
223,Daniel Jones,QB,233.0
273,Greg Ward,WR,234.0
274,Justice Hill,RB,235.0
247,Darrel Williams,RB,235.5
260,Parris Campbell,WR,236.0
275,DeeJay Dallas,RB,236.0
276,Evan McPherson,K1,237.0
277,Keke Coutee,WR,238.0
278,Byron Pringle,WR,241.0
252,Emmanuel Sanders,WR,242.5
231,Devontae Booker,RB,242.5
279,Donovan Peoples-Jones,WR,243.0
224,Mason Crosby,K1,244.7
280,Dalton Schultz,TE,245.0
281,DeSean Jackson,WR,246.0
282,Austin Hooper,TE,247.0
283,Matt Breida,RB,248.0
254,Sammy Watkins,WR,248.0
213,Chris Boswell,K1,249.0
284,Jalen Richard,RB,249.0
285,Green Bay Packers,DS,250.0
239,Chicago Bears,DS,252.0
286,Drew Lock,QB,255.0
287,Wayne Gallman,RB,257.0
288,Chris Herndon IV,TE,258.0
289,Olamide Zaccheaus,WR,259.0
235,New York Giants,DS,259.5
290,Quintez Cephus,WR,260.0
291,Jack Doyle,TE,261.0
237,Denver Broncos,DS,261.5
242,Los Angeles Chargers,DS,262.0
292,Mike Boone,RB,263.0
293,Larry Rountree III,RB,265.0
215,Matt Prater,K1,265.5
294,Cole Kmet,TE,266.0
244,Jason Myers,K1,269.0
295,Dawson Knox,TE,270.0
296,Ke'Shawn Vaughn,RB,271.0
297,Travis Fulgham,WR,273.0
298,Andy Dalton,QB,274.0
299,Dan Arnold,TE,275.0
300,Malcolm Brown,RB,277.0
301,Cameron Brate,TE,280.0
302,D'Wayne Eskridge,WR,281.0
303,Anthony Miller,WR,282.0
304,Tre'Quan Smith,WR,283.0
305,Josh Reynolds,WR,285.0
256,Matt Gay,K1,285.5
306,Jimmy Garoppolo,QB,287.0
307,Tyrod Taylor,QB,290.0
308,Mitchell Trubisky,QB,293.0
309,Tylan Wallace,WR,294.0
310,Jalen Hurd,WR,295.0
311,Rex Burkhead,RB,296.0
312,Khalil Herbert,RB,297.0
313,David Njoku,TE,298.0
314,Will Dissly,TE,299.0
315,Chris Evans,RB,300.0
316,Kalen Ballage,RB,301.0
317,Tim Patrick,WR,303.0
318,Arizona Cardinals,DS,304.0
319,David Moore,WR,305.0
320,Carlos Hyde,RB,306.0
321,Marquez Valdes-Scantling,WR,307.0
322,Rhamondre Stevenson,RB,308.0
323,Teddy Bridgewater,QB,310.0
324,Tyrell Williams,WR,311.0
325,Kerryon Johnson,RB,312.0
326,D'Onta Foreman,RB,313.0
327,Mac Jones,QB,314.0
328,Deonte Harris,WR,315.0
329,Samaje Perine,RB,318.0
330,Jerick McKinnon,RB,319.0
331,Jordan Love,QB,320.0
332,Randall Cobb,WR,321.0
333,Ameer Abdullah,RB,322.0
334,Rashard Higgins,WR,325.0
335,Devin Funchess,WR,330.0
336,C.J. Uzomah,TE,331.0
337,Jakobi Meyers,WR,332.0
338,Jonathan Williams,RB,333.0
339,Graham Gano,K2,334.0
340,Zach Pascal,WR,335.0
341,Ito Smith,RB,336.0
342,Carolina Panthers,DS,337.0
343,Ka'imi Fairbairn,K2,340.0
344,Cairo Santos,K2,341.0
345,Michael Badgley,K2,342.0
346,Stephen Anderson,TE,343.0
347,Van Jefferson,WR,344.0
348,Atlanta Falcons,DS,345.0
349,Cody Parkey,K2,346.0
350,Hunter Renfrow,WR,347.0
351,Jake Elliott,K2,348.0
352,Philadelphia Eagles,DS,349.0
353,Marquise Goodwin,WR,350.0
354,Marcus Mariota,QB,351.0
355,Amari Rodgers,WR,353.0
356,Donald Parham Jr.,TE,354.0
357,New York Jets,DS,355.0
358,KJ Hamler,WR,356.0
359,Antonio Gandy-Golden,WR,358.0
360,Kendrick Bourne,WR,359.0
361,Josh Lambo,K2,361.0
362,Jacksonville Jaguars,DS,362.0
363,Dyami Brown,WR,363.0
364,Joey Slye,K2,364.0
365,Houston Texans,DS,365.0
366,Detroit Lions,DS,366.0
367,Keelan Cole Sr.,WR,367.0
368,Tutu Atwell,WR,368.0
369,Lynn Bowden Jr.,WR,369.0
370,Chris Conley,WR,370.0
371,Dustin Hopkins,K2,371.0
372,Demetric Felton,WR,372.0
373,Randy Bullock,K2,373.0
374,Preston Williams,WR,374.0
375,Jalen Guyton,WR,375.0
376,Cam Sims,WR,376.0
377,Shi Smith,WR,377.0
378,James Washington,WR,378.0
379,Damiere Byrd,WR,379.0
380,N'Keal Harry,WR,380.0
381,Devin Smith,WR,381.0
