,Player,Team,Pos,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum,Fantasy Points
0,Christian McCaffrey,CAR,RB,297.7,1304.2,12.1,96.9,787.9,4.5,2.5,352.1
1,Dalvin Cook,MIN,RB,317.4,1490.3,13.0,56.0,481.7,2.0,2.9,309.2
2,Derrick Henry,TEN,RB,344.1,1686.4,14.4,25.8,192.1,1.2,2.7,288.6
3,Alvin Kamara,NO,RB,206.9,945.7,9.7,77.9,666.5,3.4,1.9,275.2
4,Saquon Barkley,NYG,RB,272.9,1261.8,9.6,57.8,448.8,2.0,1.8,266.2
5,Jonathan Taylor,IND,RB,277.7,1288.9,11.1,42.3,325.6,1.9,1.9,256.5
6,Aaron Jones,GB,RB,234.1,1135.3,10.3,50.4,394.5,2.6,2.1,251.2
7,Ezekiel Elliott,DAL,RB,283.0,1206.6,9.5,52.5,389.3,2.3,3.0,250.9
8,Austin Ekeler,LAC,RB,181.8,826.7,4.8,80.7,698.9,4.9,1.6,247.7
9,Nick Chubb,CLE,RB,274.2,1373.8,11.1,28.7,227.5,1.0,1.9,243.0
10,Joe Mixon,CIN,RB,278.0,1171.6,8.2,50.2,368.6,2.9,2.0,241.5
11,Cam Akers,LAR,RB,274.5,1230.9,9.6,36.5,338.3,2.0,2.0,240.7
12,Najee Harris,PIT,RB,260.1,1155.7,8.6,49.5,367.8,2.2,2.6,237.0
13,Antonio Gibson,WAS,RB,245.4,1103.8,9.9,45.7,331.3,1.4,2.1,229.6
14,D'Andre Swift,DET,RB,206.5,905.4,8.3,60.0,447.4,2.1,2.3,223.3
15,Chris Carson,SEA,RB,228.2,1045.6,7.3,43.4,320.9,2.4,2.1,212.4
16,Clyde Edwards-Helaire,KC,RB,218.7,984.3,6.9,48.8,376.2,2.1,1.7,211.0
17,Miles Sanders,PHI,RB,217.8,1044.6,6.4,43.4,361.1,1.7,1.8,207.4
18,J.K. Dobbins,BAL,RB,212.0,1076.7,9.4,30.1,228.4,1.1,1.6,205.5
19,David Montgomery,CHI,RB,247.6,1037.0,7.9,37.5,298.9,1.5,1.9,204.8
20,Josh Jacobs,LV,RB,250.0,1068.0,9.4,31.5,236.3,0.9,2.0,203.9
21,Myles Gaskin,MIA,RB,216.1,917.7,6.1,48.2,372.9,2.0,2.1,197.3
22,Mike Davis,ATL,RB,227.0,895.6,6.6,48.8,311.7,1.7,1.9,191.0
23,Chase Edmonds,ARI,RB,173.2,770.8,4.9,52.2,382.0,2.9,1.5,185.2
24,Travis Etienne,JAC,RB,133.5,596.6,4.0,59.6,478.1,2.4,1.9,172.4
25,Kareem Hunt,CLE,RB,154.6,684.1,5.5,38.9,317.8,2.5,1.3,165.3
26,Raheem Mostert,SF,RB,156.4,778.3,6.1,24.9,216.5,1.3,1.4,154.0
27,James Robinson,JAC,RB,179.7,786.0,5.4,30.8,220.8,1.0,1.4,151.5
28,David Johnson,HOU,RB,147.8,619.0,4.7,35.9,322.5,2.3,1.5,151.0
29,Leonard Fournette,TB,RB,166.0,684.5,6.3,32.5,224.1,1.1,1.2,148.9
30,Melvin Gordon III,DEN,RB,182.8,805.3,6.1,26.4,167.1,1.0,3.0,147.1
31,Javonte Williams,DEN,RB,177.1,786.5,5.0,21.5,164.9,1.0,1.9,138.1
32,Damien Harris,NE,RB,199.0,933.2,5.3,10.1,76.8,0.2,1.4,136.7
33,Ronald Jones II,TB,RB,169.7,766.9,5.9,18.9,133.8,0.4,1.4,134.6
34,Zack Moss,BUF,RB,155.6,665.4,5.6,23.3,167.7,0.9,1.2,131.8
35,Kenyan Drake,LV,RB,137.3,571.2,4.6,35.1,247.5,0.8,1.4,129.0
36,James Conner,ARI,RB,140.4,623.1,5.4,21.8,151.9,0.7,1.4,122.3
37,Latavius Murray,NO,RB,142.6,606.8,4.1,26.2,188.0,1.0,1.2,121.0
38,Michael Carter,NYJ,RB,144.9,608.0,4.0,26.7,204.5,0.9,1.8,120.5
39,Trey Sermon,SF,RB,138.1,627.3,5.2,18.6,152.1,1.0,1.7,120.5
40,Jamaal Williams,DET,RB,129.9,526.6,3.3,35.3,240.5,1.3,1.2,119.7
41,J.D. McKissic,WAS,RB,66.6,288.9,1.5,56.4,410.3,1.7,0.8,116.3
42,Devin Singletary,BUF,RB,122.8,542.5,3.0,31.7,224.0,1.3,1.3,115.3
43,Gus Edwards,BAL,RB,149.9,728.7,4.7,10.5,88.0,0.3,1.3,113.9
44,Nyheim Hines,IND,RB,62.1,266.6,2.1,50.0,373.5,2.2,1.2,112.8
45,Tony Pollard,DAL,RB,112.2,502.4,3.2,29.6,217.9,1.3,1.2,111.4
46,James White,NE,RB,52.5,215.0,1.7,52.1,421.5,2.3,1.2,111.4
47,Tarik Cohen,CHI,RB,64.8,272.2,1.1,55.8,384.3,2.0,0.8,111.0
48,AJ Dillon,GB,RB,139.2,627.4,4.1,14.5,110.2,0.5,1.4,105.9
49,Tevin Coleman,NYJ,RB,142.1,559.8,3.9,19.0,141.6,0.6,1.2,104.1
50,Darrell Henderson,LAR,RB,110.4,469.4,3.7,16.6,137.9,0.8,1.1,93.8
51,Alexander Mattison,MIN,RB,112.8,507.5,2.6,16.5,134.3,0.6,0.7,90.8
52,Phillip Lindsay,HOU,RB,104.2,460.6,2.7,20.4,130.8,0.3,1.1,85.4
54,Sony Michel,NE,RB,115.5,510.3,3.4,8.4,72.7,0.4,0.7,83.9
53,Rashaad Penny,SEA,RB,90.8,423.4,3.1,15.4,120.7,0.7,0.7,83.9
55,Darrel Williams,KC,RB,78.5,328.4,3.3,21.1,155.4,0.8,0.6,82.0
56,Giovani Bernard,TB,RB,49.6,181.6,1.3,31.5,240.4,1.3,0.6,71.7
57,Damien Williams,CHI,RB,62.1,259.2,2.5,18.4,132.4,1.0,0.6,67.9
58,Salvon Ahmed,MIA,RB,79.3,333.8,2.2,14.4,95.9,0.5,0.3,66.0
59,Justin Jackson,LAC,RB,77.5,350.4,1.6,15.8,112.6,0.4,0.6,65.1
60,Wayne Gallman,SF,RB,71.6,314.9,2.9,9.8,75.9,0.4,1.0,62.2
61,Ty Johnson,NYJ,RB,60.9,262.7,1.7,18.5,127.8,0.6,0.1,62.0
62,Darrynton Evans,TEN,RB,54.2,234.8,1.9,16.8,138.6,1.0,0.7,62.0
63,Malcolm Brown,MIA,RB,76.3,295.3,3.4,10.0,66.9,0.2,0.6,61.2
64,Joshua Kelley,LAC,RB,98.2,366.7,2.4,9.3,67.4,0.2,1.7,60.3
65,Cordarrelle Patterson,ATL,RB,55.1,252.2,1.6,15.1,134.1,0.7,0.2,59.6
66,Kenneth Gainwell,PHI,RB,61.8,280.9,1.9,14.1,112.9,0.5,1.1,58.6
67,Marlon Mack,IND,RB,70.6,299.8,2.5,9.2,65.6,0.2,0.6,56.0
68,Kyle Juszczyk,SF,RB,13.8,52.4,0.7,21.9,231.7,2.0,0.7,54.1
69,Rex Burkhead,HOU,RB,35.7,150.4,1.4,16.7,158.2,1.3,0.6,54.0
70,Trayveon Williams,CIN,RB,54.3,234.6,1.5,15.9,125.2,0.6,1.6,53.0
71,Mark Ingram II,HOU,RB,58.7,241.8,1.8,10.7,89.7,0.7,0.6,52.4
72,Chuba Hubbard,CAR,RB,61.7,261.5,2.0,10.7,86.8,0.4,1.1,52.3
73,Qadree Ollison,ATL,RB,67.3,257.9,2.4,9.0,71.7,0.2,0.7,51.8
74,Devontae Booker,NYG,RB,68.8,291.5,1.7,10.8,71.8,0.2,0.7,51.6
75,Boston Scott,PHI,RB,40.0,168.6,1.4,18.1,144.1,0.5,0.6,50.0
76,DeeJay Dallas,SEA,RB,46.7,186.3,1.6,14.5,107.1,0.7,0.6,49.1
77,Rhamondre Stevenson,NE,RB,52.0,227.9,1.8,8.6,64.9,0.3,1.0,44.2
78,Mike Boone,DEN,RB,50.4,238.6,1.8,6.6,44.5,0.1,0.6,42.4
79,Benny Snell Jr.,PIT,RB,62.6,232.6,1.8,7.0,48.2,0.2,0.7,42.2
80,Samaje Perine,CIN,RB,48.9,207.0,1.4,9.1,61.7,0.2,0.1,41.0
81,Jeff Wilson Jr.,SF,RB,45.7,195.3,2.6,2.5,29.5,0.5,1.0,40.6
82,Peyton Barber,WAS,RB,55.9,198.2,2.1,5.0,32.8,0.1,0.6,37.7
83,Matt Breida,BUF,RB,42.5,184.7,0.9,9.6,76.9,0.4,1.1,36.8
84,Brandon Bolden,NE,RB,19.9,100.6,2.3,4.9,49.9,0.6,0.0,35.0
85,Carlos Hyde,JAC,RB,52.0,211.8,1.4,5.8,32.9,0.0,0.6,34.7
86,Brian Hill,TEN,RB,45.6,234.3,1.0,4.8,35.2,0.1,0.6,34.6
87,Jalen Richard,LV,RB,17.3,75.5,0.2,17.2,134.0,0.6,0.1,34.1
88,Javian Hawkins,ATL,RB,46.0,189.5,1.5,4.6,35.4,0.1,0.2,33.9
89,Johnny Stanton,CLE,RB,20.0,100.0,1.0,9.0,71.0,1.0,0.0,33.6
90,La'Mical Perine,NYJ,RB,36.6,154.3,1.1,6.4,47.2,0.2,0.2,30.7
91,Jermar Jefferson,DET,RB,29.9,122.3,0.9,9.4,69.9,0.1,0.1,29.5
92,Elijah Mitchell,SF,RB,25.1,116.9,1.3,5.8,53.0,0.2,0.0,28.4
93,Larry Rountree III,LAC,RB,28.7,120.4,1.1,4.6,34.9,0.2,0.1,25.2
94,Jerick McKinnon,KC,RB,22.6,99.5,0.5,8.5,62.1,0.3,0.1,24.8
95,Jaylen Samuels,PIT,RB,24.2,101.4,0.6,7.9,52.4,0.3,0.1,24.6
96,Anthony McFarland Jr.,PIT,RB,29.8,115.3,0.5,5.7,45.2,0.1,0.6,21.5
97,Ameer Abdullah,MIN,RB,18.9,76.1,0.3,8.0,58.5,0.3,0.1,20.7
98,Tony Brooks-James,ATL,RB,33.0,139.4,0.8,0.9,6.3,0.0,0.0,20.0
