,Player,Team,Pos,Rec,Rec Yds,Rec TDs,Fum,Fantasy Points
0,Travis Kelce,KC,TE,112.6,1405.8,10.1,0.8,256.1
1,George Kittle,SF,TE,97.0,1218.5,6.6,0.7,208.6
2,Darren Waller,LV,TE,100.4,1148.6,7.1,0.9,206.1
3,Mark Andrews,BAL,TE,69.5,848.3,8.2,0.9,167.1
4,Kyle Pitts,ATL,TE,69.0,832.3,6.4,1.2,153.6
5,T.J. Hockenson,DET,TE,73.8,822.0,5.2,0.8,148.8
6,Dallas Goedert,PHI,TE,63.2,705.8,5.1,0.7,131.5
8,Tyler Higbee,LAR,TE,58.0,653.8,5.4,0.6,125.3
7,Noah Fant,DEN,TE,62.1,689.9,4.4,0.6,125.3
9,Logan Thomas,WAS,TE,62.9,645.6,5.0,0.6,124.6
10,Robert Tonyan,GB,TE,54.6,601.8,6.2,0.1,124.5
11,Mike Gesicki,MIA,TE,55.3,621.8,5.3,0.7,120.2
12,Irv Smith Jr.,MIN,TE,51.8,569.2,5.4,0.7,113.8
13,Eric Ebron,PIT,TE,58.0,573.3,4.6,0.7,112.3
14,Jared Cook,LAC,TE,45.9,577.3,5.1,0.6,110.2
15,Rob Gronkowski,TB,TE,42.1,549.8,5.5,0.2,108.8
16,Evan Engram,NYG,TE,57.9,587.4,3.7,0.7,108.5
17,Jonnu Smith,NE,TE,53.3,558.7,4.1,0.7,105.9
18,Hunter Henry,NE,TE,51.3,555.8,3.9,0.6,103.5
19,Blake Jarwin,DAL,TE,47.9,535.9,4.1,0.2,101.6
20,Austin Hooper,CLE,TE,49.8,499.6,4.5,0.6,100.5
21,Adam Trautman,NO,TE,49.6,537.7,3.8,0.7,99.7
22,Anthony Firkser,TEN,TE,48.7,522.9,3.8,0.1,99.4
23,Gerald Everett,SEA,TE,41.9,431.5,3.9,0.6,86.1
24,Zach Ertz,PHI,TE,42.0,434.0,3.0,0.1,82.1
25,Cole Kmet,CHI,TE,43.2,431.2,3.1,1.2,81.3
26,Dawson Knox,BUF,TE,35.4,407.3,3.7,0.7,79.6
27,Chris Herndon IV,NYJ,TE,42.0,424.1,3.2,1.7,79.5
28,Hayden Hurst,ATL,TE,38.5,404.6,2.9,0.1,77.2
29,Jordan Akins,HOU,TE,39.7,422.1,2.5,0.1,77.0
30,C.J. Uzomah,CIN,TE,36.7,358.0,3.2,0.1,73.4
31,Tyler Eifert,JAC,TE,35.6,351.4,3.2,0.0,71.9
32,Jack Doyle,IND,TE,34.5,354.9,3.2,0.2,71.8
33,Mo Alie-Cox,IND,TE,33.2,363.0,2.7,0.6,67.6
34,Will Dissly,SEA,TE,30.3,317.9,3.0,0.1,64.6
35,Donald Parham Jr.,LAC,TE,28.0,340.4,2.5,0.1,62.9
36,O.J. Howard,TB,TE,27.1,343.1,2.5,0.7,61.4
37,Dan Arnold,CAR,TE,27.7,346.2,2.3,0.7,60.9
38,Tyler Conklin,MIN,TE,29.4,308.5,2.4,0.1,59.6
39,David Njoku,CLE,TE,24.3,260.9,2.6,0.0,53.9
