,Player,Team,Pos,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum,Fantasy Points
0,Davante Adams,GB,WR,123.7,1492.1,12.6,0.0,0.0,0.0,0.8,285.1
1,Tyreek Hill,KC,WR,100.7,1440.6,12.2,12.9,81.8,0.8,0.7,279.6
2,Stefon Diggs,BUF,WR,112.8,1468.8,9.1,2.4,15.5,0.1,1.2,257.2
3,DeAndre Hopkins,ARI,WR,121.8,1461.2,7.6,1.5,7.4,0.0,1.5,250.4
4,Calvin Ridley,ATL,WR,99.8,1425.3,9.1,4.8,26.3,0.1,0.8,248.5
5,Justin Jefferson,MIN,WR,94.5,1399.3,7.9,0.4,1.5,0.0,0.8,233.1
6,D.K. Metcalf,SEA,WR,86.6,1304.9,9.9,0.3,1.3,0.0,1.4,230.7
7,A.J. Brown,TEN,WR,84.6,1269.5,9.8,0.5,7.5,0.0,0.9,227.0
8,Keenan Allen,LAC,WR,111.5,1207.8,7.8,3.0,16.3,0.1,1.0,223.9
9,Michael Thomas,NO,WR,103.9,1237.0,6.7,0.3,-1.0,0.0,0.8,214.5
10,Amari Cooper,DAL,WR,92.0,1212.7,7.4,2.6,12.1,0.0,0.8,211.5
11,Allen Robinson II,CHI,WR,97.3,1214.1,6.8,0.3,0.3,0.0,0.7,209.6
12,Robert Woods,LAR,WR,97.8,1090.1,5.9,15.9,97.8,1.2,0.8,208.6
13,Terry McLaurin,WAS,WR,90.2,1219.3,6.8,1.8,12.1,0.1,0.7,207.7
14,Mike Evans,TB,WR,76.1,1116.0,9.6,0.0,0.0,0.0,0.7,205.7
15,Tyler Lockett,SEA,WR,92.5,1055.5,8.4,1.6,5.7,0.0,0.7,201.5
16,Adam Thielen,MIN,WR,81.1,1034.0,9.2,3.2,14.5,0.3,0.7,200.7
17,CeeDee Lamb,DAL,WR,83.6,1093.1,6.7,8.7,62.5,0.6,0.8,199.5
18,Cooper Kupp,LAR,WR,92.4,1069.5,7.1,2.8,17.5,0.0,0.7,196.5
19,D.J. Moore,CAR,WR,82.9,1200.6,5.4,3.1,20.1,0.1,0.8,194.7
20,Chris Godwin,TB,WR,82.6,1077.5,7.4,0.3,2.0,0.0,0.8,192.3
21,Julio Jones,TEN,WR,78.2,1107.4,7.2,0.5,-0.5,0.0,0.7,191.9
22,Tee Higgins,CIN,WR,79.5,1062.8,6.6,2.3,12.3,0.0,0.8,185.5
23,Diontae Johnson,PIT,WR,94.5,983.9,6.3,4.4,27.2,0.1,1.4,183.9
24,Courtland Sutton,DEN,WR,74.1,1054.3,6.7,1.7,9.4,0.0,0.8,182.3
25,Odell Beckham Jr.,CLE,WR,71.2,996.2,6.7,5.8,51.4,0.3,0.7,180.8
